"seqnames","start","end","width","strand","Conc","Conc_group1","Conc_group2","Fold","p.value","FDR","PeakID"
"chr1",155983399,155984796,1398,"*",7.8,8.56,6.14,2.41,2.15e-29,3.32e-26,"chr1_155983399_155984796"
"chr7",120898791,120899351,561,"*",6.73,7.68,3.01,4.66,3.02e-29,4.62e-26,"chr7_120898791_120899351"
"chr6",44593547,44595242,1696,"*",8.03,6.65,8.72,-2.07,3.12e-29,4.72e-26,"chr6_44593547_44595242"
"chr5",135253578,135254400,823,"*",7.17,8,4.97,3.03,3.15e-29,4.72e-26,"chr5_135253578_135254400"
"chr1",205183090,205184320,1231,"*",7.62,8.38,5.91,2.47,3.23e-29,4.79e-26,"chr1_205183090_205184320"
"chr20",8073168,8073836,669,"*",7.33,8.16,5.16,3,3.43e-29,5.04e-26,"chr20_8073168_8073836"
"chr10",102758394,102759290,897,"*",8.26,8.91,7.02,1.9,3.95e-29,5.75e-26,"chr10_102758394_102759290"
"chr14",102717301,102717845,545,"*",6.92,7.82,3.98,3.84,4.23e-29,6.1e-26,"chr14_102717301_102717845"
"chr15",76737351,76738334,984,"*",6.78,7.73,2.75,4.99,4.89e-29,6.99e-26,"chr15_76737351_76738334"
"chr11",120078278,120079083,806,"*",6.89,7.78,4.13,3.65,6.04e-29,8.56e-26,"chr11_120078278_120079083"
"chr12",51863097,51866268,3172,"*",9.64,8.81,10.17,-1.36,7.72e-29,1.08e-25,"chr12_51863097_51866268"
"chr4",109046490,109047195,706,"*",6.92,7.82,3.99,3.83,9.56e-29,1.33e-25,"chr4_109046490_109047195"
"chr15",76335303,76336974,1672,"*",8.24,8.89,7,1.89,1.03e-28,1.43e-25,"chr15_76335303_76336974"
"chr6",114010746,114012009,1264,"*",8.82,9.44,7.72,1.71,1.12e-28,1.54e-25,"chr6_114010746_114012009"
"chr17",78365202,78366676,1475,"*",8.27,7.04,8.93,-1.89,1.18e-28,1.6e-25,"chr17_78365202_78366676"
"chr3",193897365,193898145,781,"*",7.56,8.32,5.83,2.5,1.41e-28,1.89e-25,"chr3_193897365_193898145"
"chr10",100485329,100486555,1227,"*",6.97,4.13,7.86,-3.73,1.81e-28,2.42e-25,"chr10_100485329_100486555"
"chr2",20487297,20489279,1983,"*",7.81,6.33,8.52,-2.19,3.76e-28,4.97e-25,"chr2_20487297_20489279"
"chr12",24708584,24710048,1465,"*",6.69,7.62,3.38,4.24,4.01e-28,5.26e-25,"chr12_24708584_24710048"
"chr2",28691593,28692407,815,"*",7.42,5.5,8.21,-2.72,4.31e-28,5.61e-25,"chr2_28691593_28692407"
"chr11",44823864,44825567,1704,"*",8.25,6.98,8.92,-1.94,4.39e-28,5.65e-25,"chr11_44823864_44825567"
"chr1",162248651,162251265,2615,"*",7.27,5.25,8.08,-2.83,4.41e-28,5.65e-25,"chr1_162248651_162251265"
"chr3",101281287,101282027,741,"*",6.83,7.72,4.09,3.63,4.84e-28,6.14e-25,"chr3_101281287_101282027"
"chr15",70318519,70319477,959,"*",6.71,7.63,3.59,4.04,5.83e-28,7.35e-25,"chr15_70318519_70319477"
"chr1",91564936,91565841,906,"*",6.84,3.63,7.76,-4.13,6.33e-28,7.91e-25,"chr1_91564936_91565841"
"chr1",204108358,204109446,1089,"*",7.33,5.08,8.17,-3.09,6.41e-28,7.95e-25,"chr1_204108358_204109446"
"chr1",10939835,10940656,822,"*",6.98,7.84,4.52,3.32,7.49e-28,9.22e-25,"chr1_10939835_10940656"
"chr6",125764097,125764787,691,"*",6.68,7.64,2.47,5.17,1.06e-27,1.29e-24,"chr6_125764097_125764787"
"chr1",116950113,116951836,1724,"*",7.45,8.23,5.63,2.6,1.43e-27,1.74e-24,"chr1_116950113_116951836"
"chr11",27186962,27188714,1753,"*",7.35,5.15,8.18,-3.04,1.47e-27,1.76e-24,"chr11_27186962_27188714"
"chr5",153959068,153960408,1341,"*",8.36,7.2,9,-1.79,1.62e-27,1.93e-24,"chr5_153959068_153960408"
"chr2",201638468,201639499,1032,"*",6.67,7.6,3.38,4.22,1.87e-27,2.22e-24,"chr2_201638468_201639499"
"chr5",77847587,77848334,748,"*",7.24,5.16,8.05,-2.89,2.02e-27,2.37e-24,"chr5_77847587_77848334"
"chr7",10582719,10583483,765,"*",7.29,8.08,5.38,2.7,2.07e-27,2.42e-24,"chr7_10582719_10583483"
"chr17",65515518,65517005,1488,"*",8.39,9.01,7.27,1.74,2.24e-27,2.6e-24,"chr17_65515518_65517005"
"chr10",76149630,76151210,1581,"*",7.63,5.89,8.4,-2.51,2.34e-27,2.69e-24,"chr10_76149630_76151210"
"chr20",15528252,15529083,832,"*",6.83,7.71,4.19,3.52,2.41e-27,2.75e-24,"chr20_15528252_15529083"
"chr1",32666880,32667627,748,"*",7.91,8.62,6.44,2.18,2.44e-27,2.77e-24,"chr1_32666880_32667627"
"chr8",25592361,25593370,1010,"*",6.71,2.93,7.66,-4.73,2.77e-27,3.12e-24,"chr8_25592361_25593370"
"chr11",7603000,7603957,958,"*",7.71,8.43,6.23,2.2,3.1e-27,3.46e-24,"chr11_7603000_7603957"
"chr2",15747392,15749102,1711,"*",8.76,7.75,9.36,-1.61,3.79e-27,4.21e-24,"chr2_15747392_15749102"
"chr2",20567182,20568169,988,"*",7.64,5.9,8.4,-2.5,4.05e-27,4.46e-24,"chr2_20567182_20568169"
"chr1",93635690,93636847,1158,"*",6.73,3.58,7.65,-4.07,5.14e-27,5.62e-24,"chr1_93635690_93636847"
"chr1",186896328,186897204,877,"*",6.93,7.79,4.48,3.32,5.3e-27,5.76e-24,"chr1_186896328_186897204"
"chr18",22556368,22556902,535,"*",7.04,7.88,4.79,3.09,5.45e-27,5.88e-24,"chr18_22556368_22556902"
"chr3",14725811,14726677,867,"*",7.14,4.86,7.98,-3.13,5.57e-27,5.97e-24,"chr3_14725811_14726677"
"chr16",7963474,7964834,1361,"*",6.62,7.56,3,4.57,6.22e-27,6.62e-24,"chr16_7963474_7964834"
"chr4",4625329,4626163,835,"*",7.08,7.91,4.89,3.02,7.31e-27,7.74e-24,"chr4_4625329_4626163"
"chr18",37835467,37836623,1157,"*",7.29,5.1,8.13,-3.03,7.52e-27,7.9e-24,"chr18_37835467_37836623"
"chr5",74326652,74327789,1138,"*",7.74,8.47,6.18,2.29,7.94e-27,8.29e-24,"chr5_74326652_74327789"
"chr21",34836088,34836931,844,"*",7.29,8.1,5.27,2.83,1.09e-26,1.13e-23,"chr21_34836088_34836931"
"chr14",55117804,55118335,532,"*",6.78,7.76,1.89,5.87,1.48e-26,1.51e-23,"chr14_55117804_55118335"
"chr1",109229355,109230311,957,"*",7.13,4.85,7.98,-3.13,1.48e-26,1.51e-23,"chr1_109229355_109230311"
"chr20",41231961,41233678,1718,"*",7.16,7.99,5.03,2.95,1.53e-26,1.56e-23,"chr20_41231961_41233678"
"chr12",67155422,67156353,932,"*",7.13,7.95,5.02,2.93,1.68e-26,1.7e-23,"chr12_67155422_67156353"
"chr3",81289366,81290147,782,"*",6.62,7.58,2.42,5.16,1.77e-26,1.78e-23,"chr3_81289366_81290147"
"chr1",198935213,198935972,760,"*",7.06,7.9,4.86,3.04,1.79e-26,1.79e-23,"chr1_198935213_198935972"
"chr5",152007500,152008580,1081,"*",6.99,4.29,7.87,-3.59,2.1e-26,2.09e-23,"chr5_152007500_152008580"
"chr21",33975718,33976980,1263,"*",7.88,8.57,6.52,2.05,2.13e-26,2.1e-23,"chr21_33975718_33976980"
"chr2",11819243,11820054,812,"*",6.62,7.56,2.82,4.74,2.42e-26,2.36e-23,"chr2_11819243_11820054"
"chr2",157932366,157933899,1534,"*",7.11,4.93,7.94,-3.01,2.43e-26,2.36e-23,"chr2_157932366_157933899"
"chr12",114667158,114669717,2560,"*",9.66,10.13,8.96,1.17,2.64e-26,2.56e-23,"chr12_114667158_114669717"
"chr8",129077131,129078298,1168,"*",7.44,5.71,8.2,-2.48,2.79e-26,2.69e-23,"chr8_129077131_129078298"
"chr11",36187536,36188759,1224,"*",6.78,7.67,4.07,3.6,4.11e-26,3.91e-23,"chr11_36187536_36188759"
"chr17",14061897,14062591,695,"*",6.58,7.51,3.32,4.19,4.11e-26,3.91e-23,"chr17_14061897_14062591"
"chr9",128094184,128094696,513,"*",7.28,8.06,5.43,2.64,4.14e-26,3.91e-23,"chr9_128094184_128094696"
"chr10",21161321,21162233,913,"*",6.74,3.89,7.64,-3.75,4.42e-26,4.15e-23,"chr10_21161321_21162233"
"chr7",73845624,73846235,612,"*",6.67,7.59,3.58,4.01,4.85e-26,4.53e-23,"chr7_73845624_73846235"
"chr10",44017116,44017938,823,"*",6.8,7.7,3.94,3.76,5.11e-26,4.74e-23,"chr10_44017116_44017938"
"chr9",72477110,72478670,1561,"*",7.96,8.65,6.62,2.03,5.47e-26,5.05e-23,"chr9_72477110_72478670"
"chr6",88245873,88247168,1296,"*",7.58,8.33,5.94,2.38,5.74e-26,5.27e-23,"chr6_88245873_88247168"
"chr11",116073851,116074914,1064,"*",7.89,6.55,8.57,-2.02,7.03e-26,6.41e-23,"chr11_116073851_116074914"
"chr11",94866208,94867659,1452,"*",7.49,8.24,5.82,2.42,7.44e-26,6.75e-23,"chr11_94866208_94867659"
"chr22",48907695,48908392,698,"*",6.94,7.78,4.66,3.12,7.83e-26,7.06e-23,"chr22_48907695_48908392"
"chr7",22138595,22139396,802,"*",6.68,3.63,7.59,-3.96,8.04e-26,7.21e-23,"chr7_22138595_22139396"
"chr20",6707275,6709121,1847,"*",8.33,8.95,7.23,1.72,8.66e-26,7.72e-23,"chr20_6707275_6709121"
"chr16",68656451,68657290,840,"*",7.55,5.61,8.35,-2.74,1.02e-25,9.07e-23,"chr16_68656451_68657290"
"chr4",155577962,155579090,1129,"*",6.64,7.55,3.56,4,1.09e-25,9.6e-23,"chr4_155577962_155579090"
"chr7",25751890,25754057,2168,"*",7.81,6.41,8.51,-2.1,1.15e-25,1.01e-22,"chr7_25751890_25754057"
"chr11",119615156,119616222,1067,"*",6.66,7.57,3.63,3.94,1.22e-25,1.06e-22,"chr11_119615156_119616222"
"chr5",134539468,134540447,980,"*",6.7,3.74,7.6,-3.86,1.28e-25,1.11e-22,"chr5_134539468_134540447"
"chr20",36466538,36467567,1030,"*",7.6,8.33,6.02,2.32,1.53e-25,1.32e-22,"chr20_36466538_36467567"
"chr5",174608680,174609618,939,"*",7.5,8.25,5.8,2.45,1.59e-25,1.36e-22,"chr5_174608680_174609618"
"chr18",21990774,21992654,1881,"*",7.63,6.11,8.35,-2.24,1.59e-25,1.36e-22,"chr18_21990774_21992654"
"chr2",102551283,102552073,791,"*",6.54,7.47,3,4.48,1.61e-25,1.37e-22,"chr2_102551283_102552073"
"chr1",173488945,173490492,1548,"*",7.24,8.02,5.4,2.62,1.78e-25,1.5e-22,"chr1_173488945_173490492"
"chr4",154343207,154344149,943,"*",6.74,7.63,4,3.63,1.96e-25,1.64e-22,"chr4_154343207_154344149"
"chr1",19974837,19975732,896,"*",7.71,8.43,6.23,2.2,1.97e-25,1.64e-22,"chr1_19974837_19975732"
"chr9",124574682,124575413,732,"*",7.16,7.96,5.24,2.71,2.02e-25,1.68e-22,"chr9_124574682_124575413"
"chr17",65656621,65657413,793,"*",6.78,7.64,4.29,3.36,2.23e-25,1.84e-22,"chr17_65656621_65657413"
"chr5",128196779,128197586,808,"*",6.71,7.69,1.77,5.92,2.83e-25,2.33e-22,"chr5_128196779_128197586"
"chr12",108112584,108113798,1215,"*",7.66,6.19,8.37,-2.18,3.13e-25,2.56e-22,"chr12_108112584_108113798"
"chr10",12727011,12728179,1169,"*",7.02,7.84,4.92,2.92,4.88e-25,3.97e-22,"chr10_12727011_12728179"
"chr1",84774062,84775705,1644,"*",7.47,5.78,8.23,-2.45,4.98e-25,4.03e-22,"chr1_84774062_84775705"
"chr1",40824580,40825800,1221,"*",7.87,6.51,8.56,-2.05,6.75e-25,5.44e-22,"chr1_40824580_40825800"
"chr17",78374367,78375424,1058,"*",7.86,6.5,8.54,-2.04,7.35e-25,5.89e-22,"chr17_78374367_78375424"
"chr1",169119481,169120679,1199,"*",7.4,8.17,5.65,2.51,8.66e-25,6.9e-22,"chr1_169119481_169120679"
"chr17",7091364,7092045,682,"*",6.59,7.5,3.49,4.01,9.04e-25,7.17e-22,"chr17_7091364_7092045"
"chr7",156885968,156886806,839,"*",7.74,8.46,6.24,2.21,9.53e-25,7.53e-22,"chr7_156885968_156886806"
"chr10",110544923,110545789,867,"*",6.62,7.52,3.65,3.88,1.03e-24,8.11e-22,"chr10_110544923_110545789"
"chr1",61841656,61843115,1460,"*",7.73,8.43,6.3,2.13,1.4e-24,1.09e-21,"chr1_61841656_61843115"
"chr2",205720291,205722104,1814,"*",7.37,5.37,8.17,-2.8,1.58e-24,1.23e-21,"chr2_205720291_205722104"
"chr5",180607919,180608725,807,"*",7.37,8.14,5.63,2.51,1.72e-24,1.33e-21,"chr5_180607919_180608725"
"chr1",208226099,208227313,1215,"*",7.1,5.02,7.91,-2.9,1.73e-24,1.33e-21,"chr1_208226099_208227313"
"chr6",162360728,162361616,889,"*",7.03,7.84,4.99,2.85,2.04e-24,1.56e-21,"chr6_162360728_162361616"
"chr18",54775879,54776868,990,"*",6.61,7.53,3.53,3.99,2.1e-24,1.6e-21,"chr18_54775879_54776868"
"chr19",8028657,8029669,1013,"*",8.91,7.9,9.5,-1.6,2.17e-24,1.65e-21,"chr19_8028657_8029669"
"chr5",72141435,72142442,1008,"*",7.08,7.89,5.06,2.83,2.33e-24,1.76e-21,"chr5_72141435_72142442"
"chr15",63014439,63015440,1002,"*",7.11,4.81,7.95,-3.15,2.63e-24,1.97e-21,"chr15_63014439_63015440"
"chr5",155270569,155271796,1228,"*",7.26,8.06,5.34,2.72,2.63e-24,1.97e-21,"chr5_155270569_155271796"
"chr20",11248174,11249687,1514,"*",7.15,5.23,7.94,-2.71,2.64e-24,1.97e-21,"chr20_11248174_11249687"
"chr9",129145586,129146706,1121,"*",8.3,7.19,8.92,-1.74,2.83e-24,2.1e-21,"chr9_129145586_129146706"
"chr22",29747858,29749046,1189,"*",7.27,8.04,5.51,2.53,3.69e-24,2.72e-21,"chr22_29747858_29749046"
"chr12",117124621,117125715,1095,"*",7.39,8.15,5.68,2.47,4.05e-24,2.98e-21,"chr12_117124621_117125715"
"chr15",85667900,85668611,712,"*",6.69,7.57,4.06,3.51,4.26e-24,3.11e-21,"chr15_85667900_85668611"
"chr3",32868885,32870589,1705,"*",7.93,6.66,8.59,-1.93,4.36e-24,3.18e-21,"chr3_32868885_32870589"
"chr2",68120854,68121633,780,"*",7.63,6.14,8.35,-2.21,4.39e-24,3.19e-21,"chr2_68120854_68121633"
"chr8",137733241,137734298,1058,"*",6.9,7.74,4.61,3.13,4.44e-24,3.21e-21,"chr8_137733241_137734298"
"chr22",43103701,43104629,929,"*",7.95,8.6,6.73,1.87,5.67e-24,4.07e-21,"chr22_43103701_43104629"
