"seqnames","start","end","width","strand","Conc","Conc_group1","Conc_group2","Fold","p.value","FDR","PeakID"
"chr9",128215871,128216469,599,"*",7.57,8.5,4.01,4.5,2.24e-47,2.04e-43,"chr9_128215871_128216469"
"chr19",8028851,8029455,605,"*",8.14,5.57,9.01,-3.44,2.34e-47,2.04e-43,"chr19_8028851_8029455"
"chr11",19499146,19499824,679,"*",7.57,8.47,4.7,3.76,2.84e-47,2.38e-43,"chr11_19499146_19499824"
"chr6",53765291,53765764,474,"*",8.21,9.06,5.91,3.14,3.04e-47,2.46e-43,"chr6_53765291_53765764"
"chr17",59093549,59094095,547,"*",7.46,8.44,2.41,6.03,3.15e-47,2.46e-43,"chr17_59093549_59094095"
"chr5",56258905,56259430,526,"*",7.52,8.51,2.21,6.29,7.35e-47,5.53e-43,"chr5_56258905_56259430"
"chr1",222043476,222044176,701,"*",7.4,8.36,3.27,5.09,2.15e-46,1.56e-42,"chr1_222043476_222044176"
"chr1",208184392,208184889,498,"*",7.52,8.44,4.35,4.09,8.01e-46,5.63e-42,"chr1_208184392_208184889"
"chr4",119835524,119836188,665,"*",7.8,8.7,4.94,3.76,7.44e-45,5.07e-41,"chr4_119835524_119836188"
"chr1",59375285,59375770,486,"*",7.27,8.23,3.15,5.08,1.23e-44,8.15e-41,"chr1_59375285_59375770"
"chr1",9242331,9243093,763,"*",7.69,8.59,4.82,3.77,3.63e-44,2.33e-40,"chr1_9242331_9243093"
"chr12",4068938,4069483,546,"*",7.26,8.19,3.83,4.36,7.11e-44,4.43e-40,"chr12_4068938_4069483"
"chr2",69464601,69465060,460,"*",7.3,8.26,3.12,5.14,1.51e-43,9.12e-40,"chr2_69464601_69465060"
"chr3",32816436,32817479,1044,"*",7.64,4.43,8.56,-4.13,1.91e-43,1.13e-39,"chr3_32816436_32817479"
"chr2",182946817,182947483,667,"*",7.36,8.33,2.98,5.35,2.39e-43,1.37e-39,"chr2_182946817_182947483"
"chr1",93623601,93624054,454,"*",7.28,8.26,2.37,5.89,2.63e-43,1.47e-39,"chr1_93623601_93624054"
"chr8",126628248,126628922,675,"*",7.22,8.16,3.6,4.56,1.5e-42,8.16e-39,"chr8_126628248_126628922"
"chr3",70744460,70745373,914,"*",7.23,8.2,3.02,5.17,1.57e-42,8.38e-39,"chr3_70744460_70745373"
"chr1",221718253,221718804,552,"*",7.49,8.38,4.78,3.6,1.11e-41,5.77e-38,"chr1_221718253_221718804"
"chr7",30093442,30093865,424,"*",7.16,8.12,3.14,4.97,1.25e-41,6.32e-38,"chr7_30093442_30093865"
"chr20",50422682,50423596,915,"*",7.87,8.73,5.46,3.27,2.99e-41,1.48e-37,"chr20_50422682_50423596"
"chr10",50605216,50605684,469,"*",7.27,8.21,3.71,4.5,7.21e-41,3.5e-37,"chr10_50605216_50605684"
"chr2",230153381,230153850,470,"*",7.13,8.08,3.25,4.83,1.18e-40,5.61e-37,"chr2_230153381_230153850"
"chr3",187281080,187281806,727,"*",7.59,8.45,5.12,3.33,1.1e-39,5.09e-36,"chr3_187281080_187281806"
"chr14",74514594,74515147,554,"*",7.48,8.35,5,3.35,1.66e-39,7.56e-36,"chr14_74514594_74515147"
"chr3",190533668,190534212,545,"*",7.13,8.11,2.26,5.85,2.02e-39,9e-36,"chr3_190533668_190534212"
"chr2",170715164,170716636,1473,"*",7.65,4.88,8.55,-3.66,2.3e-39,1e-35,"chr2_170715164_170716636"
"chr14",33859175,33859827,653,"*",7.06,8.02,2.75,5.27,2.81e-39,1.2e-35,"chr14_33859175_33859827"
"chr8",30036690,30037147,458,"*",7.34,8.24,4.44,3.8,8.43e-39,3.54e-35,"chr8_30036690_30037147"
"chr8",93404291,93404739,449,"*",7.19,8.11,4.04,4.07,1.09e-38,4.47e-35,"chr8_93404291_93404739"
"chr18",54776165,54776696,532,"*",7.13,8.11,2.17,5.94,1.14e-38,4.61e-35,"chr18_54776165_54776696"
"chr22",30302002,30302536,535,"*",7.26,8.18,3.99,4.19,1.21e-38,4.8e-35,"chr22_30302002_30302536"
"chr6",121885396,121886083,688,"*",7.02,7.99,2.52,5.46,2.05e-38,8e-35,"chr6_121885396_121886083"
"chr8",111463203,111463735,533,"*",7,7.96,2.95,5.01,2.25e-38,8.62e-35,"chr8_111463203_111463735"
"chr4",156606788,156607592,805,"*",7.4,8.3,4.62,3.68,2.52e-38,9.48e-35,"chr4_156606788_156607592"
"chr2",222290880,222291482,603,"*",7.42,4.26,8.34,-4.08,2.9e-38,1.07e-34,"chr2_222290880_222291482"
"chr3",141050992,141052235,1244,"*",7.76,5.25,8.63,-3.38,5.91e-38,2.15e-34,"chr3_141050992_141052235"
"chr20",45781312,45782091,780,"*",7.45,8.33,4.8,3.53,9.93e-38,3.55e-34,"chr20_45781312_45782091"
"chr3",66362871,66363343,473,"*",7.01,7.96,3.14,4.83,1.99e-37,6.99e-34,"chr3_66362871_66363343"
"chr13",30818318,30818751,434,"*",7.29,8.28,1.82,6.45,2.27e-37,7.87e-34,"chr13_30818318_30818751"
"chr5",132365235,132365703,469,"*",7.41,8.31,4.52,3.79,2.59e-37,8.81e-34,"chr5_132365235_132365703"
"chr15",83365263,83365850,588,"*",7.47,8.35,4.86,3.49,4.1e-37,1.37e-33,"chr15_83365263_83365850"
"chr9",134707056,134707801,746,"*",7.49,8.34,5.12,3.22,4.83e-37,1.6e-33,"chr9_134707056_134707801"
"chr6",37125713,37126499,787,"*",8.52,6.92,9.26,-2.34,4.93e-37,1.6e-33,"chr6_37125713_37126499"
"chr19",1252993,1253639,647,"*",8.24,8.99,6.59,2.4,8.55e-37,2.74e-33,"chr19_1252993_1253639"
"chr7",34155166,34155645,480,"*",6.93,7.89,2.7,5.19,9.19e-37,2.91e-33,"chr7_34155166_34155645"
"chr3",55579508,55579965,458,"*",7,7.97,2.49,5.48,9.44e-37,2.93e-33,"chr3_55579508_55579965"
"chr19",16446992,16447586,595,"*",7.05,7.98,3.66,4.32,9.53e-37,2.93e-33,"chr19_16446992_16447586"
"chr10",74021378,74021933,556,"*",7.1,8.02,3.81,4.21,1.16e-36,3.51e-33,"chr10_74021378_74021933"
"chr6",47098421,47099093,673,"*",7.2,8.1,4.24,3.86,1.25e-36,3.74e-33,"chr6_47098421_47099093"
"chr9",87290230,87290955,726,"*",7.44,8.31,4.94,3.37,1.49e-36,4.38e-33,"chr9_87290230_87290955"
"chr16",51151905,51152781,877,"*",7.72,5.42,8.56,-3.14,1.71e-36,4.96e-33,"chr16_51151905_51152781"
"chr11",61762433,61763267,835,"*",7.99,8.82,5.81,3.01,1.73e-36,4.96e-33,"chr11_61762433_61763267"
"chr10",69439511,69440341,831,"*",7.09,8,4.06,3.94,1.75e-36,4.96e-33,"chr10_69439511_69440341"
"chr5",169442822,169443549,728,"*",7.78,8.6,5.71,2.88,2.38e-36,6.66e-33,"chr5_169442822_169443549"
"chr9",70419482,70420668,1187,"*",9.33,10,8.04,1.96,2.68e-36,7.41e-33,"chr9_70419482_70420668"
"chr5",146283428,146284066,639,"*",6.96,7.93,2.52,5.41,2.9e-36,7.91e-33,"chr5_146283428_146284066"
"chr6",3610178,3610643,466,"*",7.07,8.05,1.91,6.14,4.06e-36,1.09e-32,"chr6_3610178_3610643"
"chr5",56307934,56308338,405,"*",6.91,7.86,2.97,4.89,4.36e-36,1.16e-32,"chr5_56307934_56308338"
"chr1",43552790,43553207,418,"*",7.06,7.98,3.95,4.03,5.58e-36,1.47e-32,"chr1_43552790_43553207"
"chr9",123044537,123044993,457,"*",6.94,7.9,2.76,5.14,5.82e-36,1.51e-32,"chr9_123044537_123044993"
"chr18",23779679,23780318,640,"*",8.11,8.88,6.34,2.54,6.55e-36,1.68e-32,"chr18_23779679_23780318"
"chr8",24308550,24309570,1021,"*",6.94,7.9,2.65,5.25,6.65e-36,1.69e-32,"chr8_24308550_24309570"
"chr15",74760159,74760810,652,"*",7.53,4.39,8.45,-4.06,8.92e-36,2.24e-32,"chr15_74760159_74760810"
"chr2",120779824,120780438,615,"*",8.04,8.85,6.03,2.82,1.03e-35,2.55e-32,"chr2_120779824_120780438"
"chr8",56270695,56271161,467,"*",7.11,8.09,1.77,6.33,1.3e-35,3.19e-32,"chr8_56270695_56271161"
"chr9",698666,699612,947,"*",7.08,7.99,3.97,4.02,1.53e-35,3.71e-32,"chr9_698666_699612"
"chr5",157866345,157867006,662,"*",7.23,8.13,4.22,3.91,1.6e-35,3.83e-32,"chr5_157866345_157867006"
"chr7",124459302,124459795,494,"*",7.71,8.71,0.89,7.82,2.12e-35,5.03e-32,"chr7_124459302_124459795"
"chr14",68400994,68401639,646,"*",7.2,8.08,4.55,3.53,2.54e-35,5.96e-32,"chr14_68400994_68401639"
"chr16",79848781,79849207,427,"*",6.91,7.86,3.01,4.85,3.48e-35,8.08e-32,"chr16_79848781_79849207"
"chr6",45590632,45591388,757,"*",7.19,8.08,4.34,3.75,3.75e-35,8.6e-32,"chr6_45590632_45591388"
"chr18",22839184,22839769,586,"*",7.04,8.02,1.94,6.08,3.89e-35,8.84e-32,"chr18_22839184_22839769"
"chr5",168967738,168968377,640,"*",7.13,8.04,4.2,3.84,4.1e-35,9.23e-32,"chr5_168967738_168968377"
"chr7",30911507,30911986,480,"*",7.82,8.63,5.84,2.79,5.14e-35,1.14e-31,"chr7_30911507_30911986"
"chr17",77734967,77735852,886,"*",7.99,8.79,6,2.8,5.27e-35,1.16e-31,"chr17_77734967_77735852"
"chr21",37153718,37154353,636,"*",8.25,9.06,6.25,2.82,5.93e-35,1.29e-31,"chr21_37153718_37154353"
"chr3",112096037,112096625,589,"*",7.19,8.1,4.17,3.93,5.96e-35,1.29e-31,"chr3_112096037_112096625"
"chr16",8678373,8679094,722,"*",6.92,7.89,2.15,5.75,7.83e-35,1.68e-31,"chr16_8678373_8679094"
"chr11",19419343,19419984,642,"*",7.24,8.14,4.33,3.81,9.84e-35,2.08e-31,"chr11_19419343_19419984"
"chr1",218817084,218818193,1110,"*",7.8,8.64,5.57,3.07,1.31e-34,2.72e-31,"chr1_218817084_218818193"
"chr3",8486839,8487393,555,"*",7.34,8.22,4.73,3.48,1.31e-34,2.72e-31,"chr3_8486839_8487393"
"chr1",33220962,33221719,758,"*",7.57,8.4,5.43,2.97,1.82e-34,3.74e-31,"chr1_33220962_33221719"
"chr3",45092272,45092863,592,"*",8.12,8.88,6.46,2.41,2.03e-34,4.15e-31,"chr3_45092272_45092863"
"chr10",8050614,8052128,1515,"*",7.38,4.65,8.27,-3.62,2.41e-34,4.87e-31,"chr10_8050614_8052128"
"chr14",99664033,99664794,762,"*",7.4,4.49,8.3,-3.81,2.67e-34,5.34e-31,"chr14_99664033_99664794"
"chr19",10533576,10534040,465,"*",7.26,8.25,1.29,6.96,2.73e-34,5.41e-31,"chr19_10533576_10534040"
"chr5",119418130,119418858,729,"*",6.86,7.82,2.34,5.48,2.75e-34,5.41e-31,"chr5_119418130_119418858"
"chr1",39934395,39934855,461,"*",6.87,7.81,3.14,4.67,3.09e-34,6.01e-31,"chr1_39934395_39934855"
"chr9",123364401,123364886,486,"*",7.96,8.74,6.1,2.64,3.62e-34,6.99e-31,"chr9_123364401_123364886"
"chr8",79361255,79361803,549,"*",6.9,7.88,2.02,5.85,4.54e-34,8.68e-31,"chr8_79361255_79361803"
"chr11",69274570,69275025,456,"*",7.05,7.99,3.42,4.57,4.97e-34,9.42e-31,"chr11_69274570_69275025"
"chr3",150248431,150248935,505,"*",6.85,7.78,3.4,4.38,5.01e-34,9.42e-31,"chr3_150248431_150248935"
"chr2",12456360,12456791,432,"*",6.8,7.74,2.99,4.75,5.41e-34,1e-30,"chr2_12456360_12456791"
"chr4",121690370,121690935,566,"*",6.87,7.8,3.47,4.33,5.43e-34,1e-30,"chr4_121690370_121690935"
"chr4",75229813,75230324,512,"*",6.8,7.76,2.79,4.96,5.51e-34,1.01e-30,"chr4_75229813_75230324"
"chr6",140061911,140062530,620,"*",6.87,7.8,3.5,4.3,6.22e-34,1.13e-30,"chr6_140061911_140062530"
"chr3",134279415,134279872,458,"*",6.95,7.86,3.79,4.07,6.64e-34,1.2e-30,"chr3_134279415_134279872"
"chrX",45479703,45480446,744,"*",7.05,7.96,3.99,3.97,7.9e-34,1.41e-30,"chrX_45479703_45480446"
"chr6",158856194,158856702,509,"*",7.52,8.37,5.24,3.12,9.28e-34,1.63e-30,"chr6_158856194_158856702"
"chr10",122163161,122163931,771,"*",7.45,4.98,8.31,-3.34,9.28e-34,1.63e-30,"chr10_122163161_122163931"
"chr21",20419468,20420007,540,"*",7.18,8.06,4.52,3.54,1e-33,1.74e-30,"chr21_20419468_20420007"
"chr22",17198587,17199718,1132,"*",7.4,4.7,8.29,-3.59,1.23e-33,2.13e-30,"chr22_17198587_17199718"
"chr16",629724,630747,1024,"*",7.95,6.08,8.73,-2.65,1.41e-33,2.42e-30,"chr16_629724_630747"
"chr4",123563175,123563601,427,"*",6.86,7.82,2.83,4.98,1.64e-33,2.8e-30,"chr4_123563175_123563601"
"chr9",127388244,127388889,646,"*",7.7,8.55,5.42,3.12,1.76e-33,2.98e-30,"chr9_127388244_127388889"
"chr6",84074894,84075625,732,"*",7.8,8.62,5.7,2.92,1.89e-33,3.17e-30,"chr6_84074894_84075625"
"chr13",21069596,21070032,437,"*",6.89,7.81,3.78,4.02,2.06e-33,3.44e-30,"chr13_21069596_21070032"
"chr11",27651698,27652280,583,"*",7.41,8.28,4.87,3.41,2.33e-33,3.85e-30,"chr11_27651698_27652280"
"chr12",6839772,6840702,931,"*",8.35,9.09,6.76,2.33,2.52e-33,4.14e-30,"chr12_6839772_6840702"
"chr16",1182050,1182705,656,"*",7.33,8.21,4.61,3.61,2.57e-33,4.16e-30,"chr16_1182050_1182705"
"chr17",29667723,29668456,734,"*",7.2,8.06,4.72,3.34,2.57e-33,4.16e-30,"chr17_29667723_29668456"
"chr2",185979113,185980083,971,"*",6.97,7.88,3.91,3.97,2.66e-33,4.23e-30,"chr2_185979113_185980083"
"chr4",155578131,155578752,622,"*",6.78,7.73,2.81,4.92,2.66e-33,4.23e-30,"chr4_155578131_155578752"
"chr12",69988263,69989020,758,"*",7.33,8.19,4.87,3.32,2.78e-33,4.4e-30,"chr12_69988263_69989020"
"chr8",125219157,125219806,650,"*",7.03,7.94,3.9,4.05,2.86e-33,4.48e-30,"chr8_125219157_125219806"
"chr16",79070234,79070676,443,"*",6.8,7.74,3.36,4.38,2.87e-33,4.48e-30,"chr16_79070234_79070676"
"chr13",84192036,84192498,463,"*",6.81,7.75,3.31,4.43,3.63e-33,5.62e-30,"chr13_84192036_84192498"
"chr3",153673816,153674284,469,"*",7.16,8.15,1.29,6.86,3.75e-33,5.76e-30,"chr3_153673816_153674284"
"chr10",6290989,6291604,616,"*",6.8,7.77,2.33,5.44,3.84e-33,5.86e-30,"chr10_6290989_6291604"
"chr19",39204729,39205201,473,"*",6.9,7.82,3.58,4.24,4.44e-33,6.71e-30,"chr19_39204729_39205201"
"chr1",161187286,161187752,467,"*",6.82,7.79,2.39,5.4,4.46e-33,6.71e-30,"chr1_161187286_161187752"
"chr5",38634876,38635284,409,"*",6.79,7.74,2.63,5.11,4.91e-33,7.33e-30,"chr5_38634876_38635284"
"chr1",103197179,103197623,445,"*",6.77,7.74,2.37,5.37,4.94e-33,7.33e-30,"chr1_103197179_103197623"
"chr10",60606614,60607098,485,"*",6.87,7.84,2.12,5.72,5.35e-33,7.88e-30,"chr10_60606614_60607098"
"chr10",6305393,6305886,494,"*",7.09,7.97,4.38,3.59,5.4e-33,7.91e-30,"chr10_6305393_6305886"
"chr7",103680428,103681122,695,"*",7.12,3.29,8.07,-4.78,6.17e-33,8.97e-30,"chr7_103680428_103681122"
"chr20",49789920,49790555,636,"*",6.74,7.7,2.59,5.11,1.54e-32,2.23e-29,"chr20_49789920_49790555"
"chr3",168249242,168250068,827,"*",7.74,5.62,8.56,-2.94,1.55e-32,2.23e-29,"chr3_168249242_168250068"
"chr14",74602016,74602629,614,"*",7,7.9,4.11,3.79,1.6e-32,2.28e-29,"chr14_74602016_74602629"
"chr12",43408089,43408596,508,"*",6.81,7.78,2.02,5.76,1.81e-32,2.56e-29,"chr12_43408089_43408596"
"chr20",56925231,56925748,518,"*",7.26,2.43,8.24,-5.81,1.98e-32,2.78e-29,"chr20_56925231_56925748"
"chr5",17157685,17158437,753,"*",7.05,7.95,4.13,3.83,2.1e-32,2.94e-29,"chr5_17157685_17158437"
"chr20",38084450,38085012,563,"*",7.92,8.73,5.89,2.84,2.32e-32,3.23e-29,"chr20_38084450_38085012"
"chr14",100263274,100263692,419,"*",6.78,7.74,2.49,5.25,2.46e-32,3.39e-29,"chr14_100263274_100263692"
"chr9",18067612,18068058,447,"*",6.88,7.81,3.42,4.39,2.72e-32,3.73e-29,"chr9_18067612_18068058"
"chr17",45165264,45165684,421,"*",7.11,8.09,1.29,6.81,2.85e-32,3.89e-29,"chr17_45165264_45165684"
"chr13",40031065,40031519,455,"*",6.91,7.83,3.7,4.13,2.99e-32,4.05e-29,"chr13_40031065_40031519"
"chr2",206584935,206585632,698,"*",6.77,7.74,2.17,5.57,3.08e-32,4.15e-29,"chr2_206584935_206585632"
"chr3",161499904,161500538,635,"*",6.95,7.85,4.07,3.78,3.58e-32,4.79e-29,"chr3_161499904_161500538"
"chr14",64628740,64629452,713,"*",6.96,7.88,3.73,4.15,3.99e-32,5.31e-29,"chr14_64628740_64629452"
"chr16",58098426,58098988,563,"*",7.48,8.31,5.29,3.03,4.47e-32,5.91e-29,"chr16_58098426_58098988"
"chr6",3789152,3789563,412,"*",6.84,7.82,1.88,5.94,5.41e-32,7.11e-29,"chr6_3789152_3789563"
"chr15",92393443,92394830,1388,"*",7.36,4.86,8.23,-3.37,5.78e-32,7.55e-29,"chr15_92393443_92394830"
"chr5",149747487,149748167,681,"*",6.96,7.85,4.16,3.69,5.99e-32,7.77e-29,"chr5_149747487_149748167"
"chr1",36118295,36119275,981,"*",7.25,8.11,4.89,3.22,7.07e-32,9.12e-29,"chr1_36118295_36119275"
"chr6",128073326,128073739,414,"*",6.72,7.68,2.43,5.25,8.19e-32,1.05e-28,"chr6_128073326_128073739"
"chr5",142280100,142280788,689,"*",7.18,3.87,8.1,-4.23,8.43e-32,1.08e-28,"chr5_142280100_142280788"
"chr17",74024761,74025480,720,"*",7.1,3.13,8.05,-4.91,9.26e-32,1.17e-28,"chr17_74024761_74025480"
"chr2",8121003,8121523,521,"*",6.86,7.77,3.83,3.94,9.39e-32,1.18e-28,"chr2_8121003_8121523"
"chr8",47479366,47480332,967,"*",7.69,8.5,5.68,2.82,1.03e-31,1.29e-28,"chr8_47479366_47480332"
"chr22",23242420,23243100,681,"*",7.78,5.87,8.58,-2.71,1.16e-31,1.45e-28,"chr22_23242420_23243100"
"chr8",126588499,126589024,526,"*",7.8,8.62,5.69,2.93,1.38e-31,1.71e-28,"chr8_126588499_126589024"
"chr1",158807073,158807563,491,"*",7.16,8.15,1.28,6.87,1.51e-31,1.87e-28,"chr1_158807073_158807563"
"chr6",56042762,56043217,456,"*",6.77,7.69,3.55,4.14,1.53e-31,1.88e-28,"chr6_56042762_56043217"
"chr2",236631187,236631832,646,"*",6.88,7.79,3.88,3.91,2.41e-31,2.93e-28,"chr2_236631187_236631832"
"chr9",120766473,120767142,670,"*",7.29,8.14,4.94,3.2,2.46e-31,2.98e-28,"chr9_120766473_120767142"
"chr10",28841027,28841560,534,"*",6.8,7.72,3.49,4.24,2.73e-31,3.29e-28,"chr10_28841027_28841560"
"chr9",136572045,136572696,652,"*",8.05,6.36,8.81,-2.45,2.78e-31,3.33e-28,"chr9_136572045_136572696"
"chr15",66851206,66851848,643,"*",8.28,9.01,6.74,2.28,2.86e-31,3.41e-28,"chr15_66851206_66851848"
"chr1",11691043,11691958,916,"*",7.06,3.78,7.98,-4.2,3.46e-31,4.1e-28,"chr1_11691043_11691958"
"chr10",133278446,133279030,585,"*",7.55,8.36,5.56,2.79,3.48e-31,4.11e-28,"chr10_133278446_133279030"
"chr13",30870320,30870864,545,"*",8.37,9.1,6.83,2.27,4.53e-31,5.31e-28,"chr13_30870320_30870864"
"chr3",64501284,64501997,714,"*",7.93,8.68,6.25,2.43,4.93e-31,5.74e-28,"chr3_64501284_64501997"
"chr4",15331958,15332428,471,"*",7.57,8.41,5.33,3.08,5.09e-31,5.89e-28,"chr4_15331958_15332428"
"chr1",183040305,183041005,701,"*",6.71,7.65,2.99,4.66,5.13e-31,5.89e-28,"chr1_183040305_183041005"
"chr9",2344722,2345151,430,"*",6.68,7.65,2.19,5.46,5.13e-31,5.89e-28,"chr9_2344722_2345151"
"chr4",113153621,113154048,428,"*",6.69,7.65,2.43,5.22,6.61e-31,7.53e-28,"chr4_113153621_113154048"
"chr2",172995641,172996304,664,"*",7.22,8.08,4.75,3.34,6.63e-31,7.53e-28,"chr2_172995641_172996304"
"chr12",77010675,77011267,593,"*",7.01,7.89,4.34,3.56,7.52e-31,8.5e-28,"chr12_77010675_77011267"
"chr2",130744578,130745139,562,"*",7.05,2.78,8.02,-5.24,8.23e-31,9.25e-28,"chr2_130744578_130745139"
"chr11",104362149,104362550,402,"*",6.67,7.61,2.95,4.66,8.51e-31,9.52e-28,"chr11_104362149_104362550"
"chr10",10661233,10661743,511,"*",6.95,7.94,1.44,6.49,8.79e-31,9.78e-28,"chr10_10661233_10661743"
"chr18",70418732,70419841,1110,"*",6.97,7.89,3.77,4.12,8.86e-31,9.81e-28,"chr18_70418732_70419841"
"chr3",141081407,141082095,689,"*",7.14,4.14,8.04,-3.9,9.71e-31,1.07e-27,"chr3_141081407_141082095"
"chr14",64758166,64759068,903,"*",8.39,9.08,7.01,2.08,9.88e-31,1.08e-27,"chr14_64758166_64759068"
"chr20",34525779,34526303,525,"*",7.07,7.94,4.54,3.4,1.11e-30,1.21e-27,"chr20_34525779_34526303"
"chr1",147084478,147085115,638,"*",7.35,4.95,8.21,-3.25,1.22e-30,1.32e-27,"chr1_147084478_147085115"
"chr12",115294604,115295036,433,"*",6.76,7.69,3.22,4.47,1.37e-30,1.48e-27,"chr12_115294604_115295036"
"chr18",3671101,3671607,507,"*",6.66,7.62,2.65,4.97,1.41e-30,1.52e-27,"chr18_3671101_3671607"
"chr7",95303004,95303535,532,"*",6.71,7.65,2.92,4.73,1.46e-30,1.56e-27,"chr7_95303004_95303535"
"chr13",41606412,41607100,689,"*",6.79,7.73,3.22,4.51,1.68e-30,1.79e-27,"chr13_41606412_41607100"
"chr4",106048473,106048997,525,"*",8.47,9.19,6.97,2.22,1.7e-30,1.79e-27,"chr4_106048473_106048997"
"chr14",67319220,67319638,419,"*",6.75,7.73,1.79,5.93,1.73e-30,1.82e-27,"chr14_67319220_67319638"
"chr10",49579654,49580097,444,"*",6.76,7.74,1.77,5.98,1.76e-30,1.85e-27,"chr10_49579654_49580097"
"chr9",18138374,18139009,636,"*",6.72,7.69,2.02,5.67,1.8e-30,1.88e-27,"chr9_18138374_18139009"
"chr3",16069080,16069552,473,"*",6.69,7.62,3.18,4.44,2.01e-30,2.09e-27,"chr3_16069080_16069552"
"chr12",89352293,89354262,1970,"*",8.88,7.57,9.56,-1.99,2.07e-30,2.14e-27,"chr12_89352293_89354262"
"chr11",89516397,89516889,493,"*",7.37,8.21,5.08,3.13,2.7e-30,2.77e-27,"chr11_89516397_89516889"
"chr1",228210057,228210463,407,"*",7.01,7.89,4.43,3.46,2.75e-30,2.81e-27,"chr1_228210057_228210463"
"chr3",186930100,186931377,1278,"*",7.83,6,8.62,-2.62,2.89e-30,2.94e-27,"chr3_186930100_186931377"
"chr17",50884254,50884796,543,"*",7.72,8.49,5.96,2.54,3.04e-30,3.09e-27,"chr17_50884254_50884796"
"chr15",71386592,71388128,1537,"*",7.75,8.55,5.8,2.75,3.31e-30,3.34e-27,"chr15_71386592_71388128"
"chr2",86393344,86394030,687,"*",7.08,7.94,4.64,3.3,3.61e-30,3.63e-27,"chr2_86393344_86394030"
"chr14",64706508,64707182,675,"*",7.64,5.63,8.45,-2.81,3.68e-30,3.68e-27,"chr14_64706508_64707182"
"chr3",188547068,188547542,475,"*",6.63,7.59,2.58,5.01,3.88e-30,3.87e-27,"chr3_188547068_188547542"
"chr3",125125800,125126205,406,"*",6.74,7.68,3.16,4.52,4.12e-30,4.08e-27,"chr3_125125800_125126205"
"chr6",158844368,158844820,453,"*",6.63,7.59,2.51,5.09,4.73e-30,4.67e-27,"chr6_158844368_158844820"
"chr12",7068633,7069193,561,"*",6.84,7.74,3.86,3.88,5.1e-30,5.01e-27,"chr12_7068633_7069193"
"chr4",124209648,124210075,428,"*",6.66,7.6,2.95,4.65,5.16e-30,5.05e-27,"chr4_124209648_124210075"
"chr3",16480693,16481375,683,"*",6.66,7.59,3.18,4.42,5.91e-30,5.76e-27,"chr3_16480693_16481375"
