"Chick_ENSEMBL","Human_Entrezid","Human_Symbol","Chick_Symbol","Chick_Entrezid","TF_Status"
"ENSGALG00000000400",3749,"KCNC4","KCNC4",419806,"No"
"ENSGALG00000000401",64783,"RBM15","RBM15",100859595,"No"
"ENSGALG00000000402",4017,"LOXL2","LOXL2",419533,"No"
"ENSGALG00000000404",9318,"COPS2","COPS2",430917,"No"
"ENSGALG00000000407",8139,"GAN","LSM7",420055,"No"
"ENSGALG00000000409",91782,"CHMP7","CHMP7",419535,"No"
"ENSGALG00000000410",11011,"TLK2","TLK2",419949,"No"
"ENSGALG00000000417",9122,"SLC16A4","SLC16A4",419809,"No"
"ENSGALG00000000419",10542,"LAMTOR5","LAMTOR5",419811,"No"
"ENSGALG00000000424",123920,"CMTM3","CMTM3",414829,"No"
"ENSGALG00000000430",56928,"SPPL2B","SPPL2C",420056,"No"
"ENSGALG00000000433",NA,NA,"NA",NA,"No"
"ENSGALG00000000436",5877,"RABIF","RABIF",421170,"No"
"ENSGALG00000000437",NA,NA,"NA",NA,"No"
"ENSGALG00000000438",79956,"ERMP1","ERMP1",426644,"No"
"ENSGALG00000000441",3744,"KCNA10","KCNA10",395116,"No"
"ENSGALG00000000442",3737,"KCNA2","KCNA2",395117,"No"
"ENSGALG00000000451",644890,"MEIG1","MEIG1",769589,"No"
"ENSGALG00000000452",NA,NA,"NA",NA,"No"
"ENSGALG00000000458",360200,"TMPRSS9","TMPRSS9",428320,"No"
"ENSGALG00000000461",9902,"MRC2","MRC2",419950,"No"
"ENSGALG00000000466",3932,"LCK","LCK",396460,"No"
"ENSGALG00000000469",148,"ADRA1A","ADRA1A",428203,"No"
"ENSGALG00000000470",84823,"LMNB2","LMNA",396222,"No"
"ENSGALG00000000474",25873,"RPL36","RPL36",373936,"No"
"ENSGALG00000000476",80059,"LRRTM4","LRRTM4",419539,"No"
"ENSGALG00000000478",26115,"TANC2","TANC2",419951,"No"
"ENSGALG00000000497",NA,NA,"NA",NA,"No"
"ENSGALG00000000498",NA,"AC113554.1","ACE",419953,"No"
"ENSGALG00000000504",51513,"ETV7","ETV7",419813,"Transcription Factor"
"ENSGALG00000000505",81033,"KCNH6","KCNH6",414871,"No"
"ENSGALG00000000507",27132,"CPNE7","CPNE7",415851,"No"
"ENSGALG00000000510",10238,"DCAF7","DCAF7",771554,"No"
"ENSGALG00000000511",222658,"KCTD20","KCTD20",419814,"No"
"ENSGALG00000000513",92822,"ZNF276","ZNF276",415853,"Transcription Factor"
"ENSGALG00000000516",2175,"FANCA","FANCA",415854,"No"
"ENSGALG00000000518",59349,"KLHL12","KLHL12",101748977,"No"
"ENSGALG00000000521",84501,"SPIRE2","SPIRE2",415855,"No"
"ENSGALG00000000523",11329,"STK38","STK38",428260,"No"
"ENSGALG00000000525",4215,"MAP3K3","MAP3K3",419954,"No"
"ENSGALG00000000528",79007,"DBNDD1","DBNDD1",415857,"No"
"ENSGALG00000000529",80774,"LIMD2","LIMD2",419955,"No"
"ENSGALG00000000533",6428,"SRSF3","SRSF3",419815,"No"
"ENSGALG00000000535",54206,"ERRFI1","ERRFI1",419364,"No"
"ENSGALG00000000538",7737,"RNF113A","RNF113B",419956,"No"
"ENSGALG00000000538",140432,"RNF113B","RNF113B",419956,"No"
"ENSGALG00000000540",2622,"GAS8","GAS8",415858,"No"
"ENSGALG00000000541",643136,"ZC3H11B","ZC3H11B",421172,"No"
"ENSGALG00000000541",9877,"ZC3H11A","ZC3H11B",421172,"No"
"ENSGALG00000000542",51042,"ZNF593","ZNF593",419549,"No"
"ENSGALG00000000544",401258,"RAB44","RAB44",100859805,"No"
"ENSGALG00000000545",5972,"REN","REN",431167,"No"
"ENSGALG00000000549",NA,NA,"NA",NA,"No"
"ENSGALG00000000550",92335,"STRADA","STRADA",419957,"No"
"ENSGALG00000000551",221477,"C6orf89","C26H6orf89",419817,"No"
"ENSGALG00000000556",10911,"UTS2","UTS2",404535,"No"
"ENSGALG00000000557",55224,"ETNK2","ETNK2",426690,"No"
"ENSGALG00000000558",6511,"SLC1A6","SLC1A6",420057,"No"
"ENSGALG00000000560",NA,NA,"NA",NA,"No"
"ENSGALG00000000564",57003,"CCDC47","CCDC47",419958,"No"
"ENSGALG00000000568",59352,"LGR6","NULL",NA,"No"
"ENSGALG00000000573",8863,"PER3","PER3",419366,"No"
"ENSGALG00000000576",51093,"RRNAD1","RRNAD1",768974,"No"
"ENSGALG00000000577",8498,"RANBP3","RANBP3",420058,"No"
"ENSGALG00000000579",9341,"VAMP3","VAMP3",419368,"No"
"ENSGALG00000000581",11325,"DDX42","DDX42",419959,"No"
"ENSGALG00000000583",9580,"SOX13","SOX13",419820,"Transcription Factor"
"ENSGALG00000000584",NA,NA,"NA",NA,"No"
"ENSGALG00000000585",NA,NA,"NA",NA,"No"
"ENSGALG00000000589",4340,"MOG","BTN1A1",420061,"No"
"ENSGALG00000000593",NA,NA,"NA",NA,"No"
"ENSGALG00000000596",996,"CDC27","CDC27",419960,"No"
"ENSGALG00000000599",51257,"MARCHF2","MARCH2",420062,"No"
"ENSGALG00000000603",284058,"KANSL1","KANSL1",419961,"No"
"ENSGALG00000000604",NA,NA,"NA",NA,"No"
"ENSGALG00000000606",127829,"ARL8A","ARL8A",421175,"No"
"ENSGALG00000000607",9283,"GPR37L1","GPR37L1",421176,"No"
"ENSGALG00000000608",999,"CDH1","CDH1",415860,"No"
"ENSGALG00000000611",84919,"PPP1R15B","PPP1R15B",100857158,"No"
"ENSGALG00000000613",NA,NA,"NA",NA,"No"
"ENSGALG00000000615",9410,"SNRNP40","NWD1",419556,"No"
"ENSGALG00000000616",1999,"ELF3","ELF3",421177,"Transcription Factor"
"ENSGALG00000000618",51538,"ZCCHC17","ZCCHC17",404295,"No"
"ENSGALG00000000619",51129,"ANGPTL4","ANGPTL4",769087,"No"
"ENSGALG00000000621",256949,"KANK3","KANK3",428321,"No"
"ENSGALG00000000625",4137,"MAPT","MAPT",426737,"No"
"ENSGALG00000000627",55735,"DNAJC11","DNAJC11",428173,"No"
"ENSGALG00000000629",NA,"AC010323.1","NDUFA7",420065,"No"
"ENSGALG00000000629",4701,"NDUFA7","NDUFA7",420065,"No"
"ENSGALG00000000630",3038,"HAS3","HAS3",427564,"No"
"ENSGALG00000000632",113455421,"CHTF8","CHTF8",769609,"No"
"ENSGALG00000000632",54921,"CHTF8","CHTF8",769609,"No"
"ENSGALG00000000636",4194,"MDM4","MDM4",419823,"No"
"ENSGALG00000000637",3104,"ZBTB48","ZBTB48",419370,"Transcription Factor"
"ENSGALG00000000638",84916,"UTP4","UTP4",769632,"No"
"ENSGALG00000000639",10446,"LRRN2","LRRN2",428261,"No"
"ENSGALG00000000643",124401,"ANKS3","ANKS3",769431,"No"
"ENSGALG00000000645",83715,"ESPN","NULL",NA,"No"
"ENSGALG00000000650",51388,"NIP7","NIP7",415863,"No"
"ENSGALG00000000652",11332,"ACOT7","ACOT7",419371,"No"
"ENSGALG00000000653",6900,"CNTN2","CNTN2",419825,"No"
"ENSGALG00000000654",NA,"AC026464.1","TMED6",101750075,"No"
"ENSGALG00000000654",146456,"TMED6","TMED6",101750075,"No"
"ENSGALG00000000657",7014,"TERF2","TERF2",395598,"Transcription Factor"
"ENSGALG00000000660",80777,"CYB5B","CYB5B",415865,"No"
"ENSGALG00000000667",1907,"EDN2","EDN2",419559,"No"
"ENSGALG00000000668",5929,"RBBP5","RBBP5",419826,"No"
"ENSGALG00000000669",2117,"ETV3","ETV3",426718,"Transcription Factor"
"ENSGALG00000000672",22955,"SCMH1","SCMH1",768916,"No"
"ENSGALG00000000674",4642,"MYO1D","MYO1D",419963,"No"
"ENSGALG00000000678",163732,"CITED4","CITED4",395465,"No"
"ENSGALG00000000681",5058,"PAK1","PAK1",419083,"No"
"ENSGALG00000000684",55220,"KLHDC8A","KLHDC8A",419829,"No"
"ENSGALG00000000685",9020,"MAP3K14","MAP3K14",419964,"No"
"ENSGALG00000000690",220032,"GDPD4","GDPD4",419084,"No"
"ENSGALG00000000692",5129,"CDK18","CDK18",771736,"No"
"ENSGALG00000000693",28987,"NOB1","NOB1",415867,"No"
"ENSGALG00000000695",148808,"MFSD4A","MFSD4A",419831,"No"
"ENSGALG00000000699",11060,"WWP2","WWP2",415868,"No"
"ENSGALG00000000703",85414,"SLC45A3","SLC45A3",771751,"No"
"ENSGALG00000000707",5713,"PSMD7","PSMD7",415869,"No"
"ENSGALG00000000708",64710,"NUCKS1","NUCKS1",404775,"No"
"ENSGALG00000000712",8934,"RAB29","NULL",NA,"No"
"ENSGALG00000000713",463,"ZFHX3","ZFHX3",395682,"Transcription Factor"
"ENSGALG00000000719",NA,"AL031847.2","RPL22",373937,"No"
"ENSGALG00000000719",6146,"RPL22","RPL22",373937,"No"
"ENSGALG00000000720",NA,NA,"NA",NA,"No"
"ENSGALG00000000721",254428,"SLC41A1","NULL",NA,"No"
"ENSGALG00000000722",NA,NA,"NA",NA,"No"
"ENSGALG00000000723",23673,"STX12","STX12",769300,"No"
"ENSGALG00000000724",148811,"PM20D1","PM20D1",419838,"No"
"ENSGALG00000000726",1994,"ELAVL1","ELAVL1",395637,"No"
"ENSGALG00000000729",5511,"PPP1R8","PPP1R8",419564,"No"
"ENSGALG00000000731",9473,"THEMIS2","THEMIS2",419565,"No"
"ENSGALG00000000734",6118,"RPA2","RPA2",419566,"No"
"ENSGALG00000000736",4145,"MATK","MATK",769076,"No"
"ENSGALG00000000737",27293,"SMPDL3B","SMPDL3B",769013,"No"
"ENSGALG00000000740",9546,"APBA3","APBA3",420069,"No"
"ENSGALG00000000745",115019,"SLC26A9","SLC26A9",428262,"No"
"ENSGALG00000000747",26038,"CHD5","CHD5",100857108,"No"
"ENSGALG00000000748",27134,"TJP3","TJP3",420070,"No"
"ENSGALG00000000751",405,"ARNT","ARNT",374026,"Transcription Factor"
"ENSGALG00000000755",55331,"ACER3","ACER3",419087,"No"
"ENSGALG00000000761",25987,"TSKU","TSKU",419088,"No"
"ENSGALG00000000764",6746,"SSR2","SSR2",425656,"No"
"ENSGALG00000000769",338382,"RAB7B","RAB7B",771782,"No"
"ENSGALG00000000775",1520,"CTSS","CTSS",425657,"No"
"ENSGALG00000000776",27154,"BRPF3","BRPF3",421182,"No"
"ENSGALG00000000777",2140,"EYA3","EYA3",395717,"No"
"ENSGALG00000000783",5724,"PTAFR","PTAFR",428209,"No"
"ENSGALG00000000784",23396,"PIP5K1C","PIP5K1C",420072,"No"
"ENSGALG00000000785",3373,"HYAL1","HYAL1",426739,"No"
"ENSGALG00000000786",1510,"CTSE","CTSE",771791,"No"
"ENSGALG00000000787",9785,"DHX38","DHX38",415875,"No"
"ENSGALG00000000788",553,"AVPR1B","AVPR1B",428263,"No"
"ENSGALG00000000790",22826,"DNAJC8","DNAJC8",419569,"No"
"ENSGALG00000000791",653820,"FAM72B","FAM72A",419841,"No"
"ENSGALG00000000791",729533,"FAM72A","FAM72A",419841,"No"
"ENSGALG00000000791",728833,"FAM72D","FAM72A",419841,"No"
"ENSGALG00000000791",554282,"FAM72C","FAM72A",419841,"No"
"ENSGALG00000000793",6944,"VPS72","VPS72",425660,"No"
"ENSGALG00000000795",126321,"MFSD12","MFSD12",420074,"No"
"ENSGALG00000000802",NA,NA,"NA",NA,"No"
"ENSGALG00000000803",NA,NA,"NA",NA,"No"
"ENSGALG00000000806",645191,"LINGO3","LINGO3",420075,"No"
"ENSGALG00000000808",NA,NA,"NA",NA,"No"
"ENSGALG00000000811",9798,"IST1","IST1",415877,"No"
"ENSGALG00000000812",4946,"OAZ1","OAZ1",395746,"No"
"ENSGALG00000000814",10236,"HNRNPR","HNRNPR",419570,"No"
"ENSGALG00000000816",647135,"SRGAP2B","SRGAP2",419843,"No"
"ENSGALG00000000816",23380,"SRGAP2","SRGAP2",419843,"No"
"ENSGALG00000000816",653464,"SRGAP2C","SRGAP2",419843,"No"
"ENSGALG00000000817",55565,"ZNF821","ZNF821",415878,"Transcription Factor"
"ENSGALG00000000818",NA,NA,"NA",NA,"No"
"ENSGALG00000000820",NA,NA,"NA",NA,"No"
"ENSGALG00000000824",NA,NA,"NA",NA,"No"
"ENSGALG00000000830",NA,NA,"NA",NA,"No"
"ENSGALG00000000835",55111,"PLEKHJ1","PLEKHJ1",428324,"No"
"ENSGALG00000000836",5993,"RFX5","NULL",100857912,"Transcription Factor"
"ENSGALG00000000838",5612,"THAP12","THAP12",428122,"Transcription Factor"
"ENSGALG00000000839",7481,"WNT11","WNT11",395562,"No"
"ENSGALG00000000843",84444,"DOT1L","DOT1L",420078,"No"
"ENSGALG00000000845",7405,"UVRAG","UVRAG",419091,"No"
"ENSGALG00000000847",84253,"GARNL3","GARNL3",417087,"No"
"ENSGALG00000000848",164,"AP1G1","AP1G1",415880,"No"
"ENSGALG00000000853",29988,"SLC2A8","SLC2A8",378802,"No"
"ENSGALG00000000855",10269,"ZMPSTE24","ZMPSTE24",419572,"No"
"ENSGALG00000000856",1939,"EIF2D","EIF2D",419845,"No"
"ENSGALG00000000857",4836,"NMT1","NMT1",419966,"No"
"ENSGALG00000000862",6018,"RLF","RLF",419573,"Transcription Factor"
"ENSGALG00000000863",8444,"DYRK3","DYRK3",419846,"No"
"ENSGALG00000000864",26190,"FBXW2","FBXW2",417088,"No"
"ENSGALG00000000866",8991,"SELENBP1","SELENBP1",425664,"No"
"ENSGALG00000000868",55298,"RNF121","RNF175",419092,"No"
"ENSGALG00000000870",79877,"DCAKD","DCAKD",419967,"No"
"ENSGALG00000000871",417,"ART1","ART1",429485,"No"
"ENSGALG00000000875",23035,"PHLPP2","PHLPP2",415881,"No"
"ENSGALG00000000881",63906,"GPATCH3","GPATCH3",419577,"No"
"ENSGALG00000000883",9261,"MAPKAPK2","MAPKAPK2",419847,"No"
"ENSGALG00000000884",51523,"CXXC5","CXXC5",416138,"No"
"ENSGALG00000000887",8431,"NR0B2","NR0B2",768353,"Transcription Factor"
"ENSGALG00000000891",55695,"NSUN5","NSUN5",417462,"No"
"ENSGALG00000000892",3586,"IL10","IL10",428264,"No"
"ENSGALG00000000893",6898,"TAT","TAT",415884,"No"
"ENSGALG00000000895",10726,"NUDC","NUDC",419578,"No"
"ENSGALG00000000901",NA,NA,"NA",NA,"No"
"ENSGALG00000000902",126695,"KDF1","KDF1",769268,"No"
"ENSGALG00000000903",54386,"TERF2IP","TERF2IP",395122,"No"
"ENSGALG00000000905",5692,"PSMB4","PSMB4",429986,"No"
"ENSGALG00000000906",9649,"RALGPS1","RALGPS1",417089,"No"
"ENSGALG00000000907",3735,"KARS1","KARS",415885,"No"
"ENSGALG00000000908",23536,"ADAT1","ADAT1",415886,"No"
"ENSGALG00000000909",2670,"GFAP","GFAP",419969,"No"
"ENSGALG00000000911",29949,"IL19","IL20",428265,"No"
"ENSGALG00000000913",NA,NA,"NA",NA,"No"
"ENSGALG00000000914",100528020,"FAM187A","FAM187A",101747521,"No"
"ENSGALG00000000918",388389,"CCDC103","CCDC103",419970,"No"
"ENSGALG00000000919",83953,"FCAMR","PIGR",419848,"No"
"ENSGALG00000000920",NA,NA,"NA",NA,"No"
"ENSGALG00000000927",23452,"ANGPTL2","ANGPTL2",776031,"No"
"ENSGALG00000000934",23099,"ZBTB43","ZBTB43",417091,"Transcription Factor"
"ENSGALG00000000943",23038,"WDTC1","WDTC1",419581,"No"
"ENSGALG00000000944",6827,"SUPT4H1","SUPT4H1",417470,"No"
"ENSGALG00000000946",5201,"PFDN1","PFDN1",416142,"No"
"ENSGALG00000000949",1839,"HBEGF","HBEGF",395654,"No"
"ENSGALG00000000950",89853,"MVB12B","MVB12B",417092,"No"
"ENSGALG00000000955",84065,"TMEM222","TMEM222",419582,"No"
"ENSGALG00000000962",83480,"PUS3","PUS3",419708,"No"
"ENSGALG00000000966",261734,"NPHP4","NPHP4",419377,"No"
"ENSGALG00000000972",NA,NA,"NA",417093,"Transcription Factor"
"ENSGALG00000000975",339448,"C1orf174","C21H1orf174",419378,"No"
"ENSGALG00000000977",79109,"MAPKAP1","MAPKAP1",395627,"No"
"ENSGALG00000000978",9731,"CEP104","CEP104",419379,"No"
"ENSGALG00000000988",9343,"EFTUD2","EFTUD2",428281,"No"
"ENSGALG00000000990",6431,"SRSF6","SRSF6",419116,"No"
"ENSGALG00000000991",6883,"TAF12","TAF12",419585,"No"
"ENSGALG00000000993",26130,"GAPVD1","GAPVD1",417095,"No"
"ENSGALG00000000994",NA,NA,"NA",NA,"No"
"ENSGALG00000000996",8943,"AP3D1","AP3D1",420079,"No"
"ENSGALG00000000997",10052,"GJC1","GJC3",396501,"No"
"ENSGALG00000000998",56181,"MTFR1L","MTFR1L",419586,"No"
"ENSGALG00000000999",57567,"ZNF319","ZNF319",427526,"Transcription Factor"
"ENSGALG00000001000",3309,"HSPA5","HSPA5",396487,"No"
"ENSGALG00000001003",NA,"AL020996.2","NULL",NA,"No"
"ENSGALG00000001003",57190,"SELENON","NULL",NA,"No"
"ENSGALG00000001006",7161,"TP73","TP73",112530730,"Transcription Factor"
"ENSGALG00000001013",5537,"PPP6C","PPP6C",772354,"No"
"ENSGALG00000001014",81873,"ARPC5L","ARPC5L",101752218,"No"
"ENSGALG00000001017",49856,"WRAP73","WRAP73",419383,"No"
"ENSGALG00000001019",55643,"BTBD2","BTBD2",420080,"No"
"ENSGALG00000001021",93649,"MYOCD","MYOCD",427790,"No"
"ENSGALG00000001022",124808,"CCDC43","CCDC43",419971,"No"
"ENSGALG00000001024",127262,"TPRG1L","TPRG1L",419384,"No"
"ENSGALG00000001025",2800,"GOLGA1","GOLGA1",417097,"No"
"ENSGALG00000001028",54894,"RNF43","RNF43",100857874,"No"
"ENSGALG00000001028",NA,"AC004687.2","RNF43",100857874,"No"
"ENSGALG00000001030",113178,"SCAMP4","SCAMP4",420081,"No"
"ENSGALG00000001031",124535,"HSF5","HSF5",417471,"Transcription Factor"
"ENSGALG00000001034",25980,"AAR2","AAR2",419118,"No"
"ENSGALG00000001035",NA,NA,"NA",431047,"Transcription Factor"
"ENSGALG00000001036",60528,"ELAC2","ELAC2",417313,"No"
"ENSGALG00000001037",286205,"SCAI","SCAI",427751,"No"
"ENSGALG00000001038",57134,"MAN1C1","MAN1C1",419588,"No"
"ENSGALG00000001042",9110,"MTMR4","MTMR4",417472,"No"
"ENSGALG00000001043",57455,"REXO1","REXO1",428327,"No"
"ENSGALG00000001046",22839,"DLGAP4","DLGAP4",419119,"No"
"ENSGALG00000001048",169611,"OLFML2A","OLFML2A",417098,"No"
"ENSGALG00000001049",NA,NA,"NA",NA,"No"
"ENSGALG00000001051",26119,"LDLRAP1","LDLRAP1",419589,"No"
"ENSGALG00000001054",100527943,"TGIF2-RAB5IF","C20H20ORF24",768550,"No"
"ENSGALG00000001054",55969,"RAB5IF","C20H20ORF24",768550,"No"
"ENSGALG00000001055",4905,"NSF","NSF",419972,"No"
"ENSGALG00000001056",83451,"ABHD11","ABHD11",417473,"No"
"ENSGALG00000001058",27237,"ARHGEF16","ARHGEF16",419386,"No"
"ENSGALG00000001062",2686,"GGT7","GGT7",419121,"No"
"ENSGALG00000001067",55219,"MACO1","TMEM57",419590,"No"
"ENSGALG00000001073",2649,"NR6A1","NR6A1",772325,"Transcription Factor"
"ENSGALG00000001076",3984,"LIMK1","LIMK1",373922,"No"
"ENSGALG00000001078",NA,NA,"NA",NA,"No"
"ENSGALG00000001079",7473,"WNT3","WNT3",374142,"No"
