seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENTREZID	SYMBOL	GENENAME	PeakID	spearman
7	2479516	2479915	400	*	Intron (ENSGALT00000004407/ENSGALG00000002789, intron 1 of 11)	7	2471804	2577360	105557	1	ENSGALG00000002789	ENSGALT00000004407	7712	424001	MAP2	microtubule associated protein 2	7-2479516-2479915	1
7	2528501	2528900	400	*	Intron (ENSGALT00000004407/ENSGALG00000002789, intron 3 of 11)	7	2516708	2577364	60657	1	ENSGALG00000002789	ENSGALT00000106529	11793	424001	MAP2	microtubule associated protein 2	7-2528501-2528900	1
17	6210301	6210700	400	*	Promoter	17	6210644	6245986	35343	1	ENSGALG00000003941	ENSGALT00000098087	0	417184	FUBP3	far upstream element binding protein 3	17-6210301-6210700	1
13	13137902	13138301	400	*	Promoter	13	13031715	13139058	107344	2	ENSGALG00000004083	ENSGALT00000006493	757	414893	GRIA1	glutamate ionotropic receptor AMPA type subunit 1	13-13137902-13138301	1
13	13166114	13166513	400	*	Distal Intergenic	13	13030976	13139199	108224	2	ENSGALG00000004083	ENSGALT00000057217	-26915	414893	GRIA1	glutamate ionotropic receptor AMPA type subunit 1	13-13166114-13166513	1
13	13209477	13209876	400	*	Distal Intergenic	13	13255413	13265272	9860	2	ENSGALG00000049934	ENSGALT00000094179	55396	NA	NA	NA	13-13209477-13209876	1
13	13226068	13226467	400	*	Distal Intergenic	13	13255413	13265272	9860	2	ENSGALG00000049934	ENSGALT00000094179	38805	NA	NA	NA	13-13226068-13226467	1
13	13499077	13499476	400	*	Distal Intergenic	13	13550385	13574271	23887	1	ENSGALG00000004134	ENSGALT00000034504	-50909	427637	GLRA1	glycine receptor alpha 1	13-13499077-13499476	1
13	13508705	13509104	400	*	Distal Intergenic	13	13550385	13574271	23887	1	ENSGALG00000004134	ENSGALT00000034504	-41281	427637	GLRA1	glycine receptor alpha 1	13-13508705-13509104	1
13	13512458	13512857	400	*	Distal Intergenic	13	13550385	13574271	23887	1	ENSGALG00000004134	ENSGALT00000034504	-37528	427637	GLRA1	glycine receptor alpha 1	13-13512458-13512857	1
13	13521981	13523285	1305	*	Distal Intergenic	13	13550385	13574271	23887	1	ENSGALG00000004134	ENSGALT00000034504	-27100	427637	GLRA1	glycine receptor alpha 1	13-13521981-13523285	1
13	13534795	13535194	400	*	Distal Intergenic	13	13550385	13574271	23887	1	ENSGALG00000004134	ENSGALT00000034504	-15191	427637	GLRA1	glycine receptor alpha 1	13-13534795-13535194	1
13	13535783	13536182	400	*	Distal Intergenic	13	13550385	13574271	23887	1	ENSGALG00000004134	ENSGALT00000034504	-14203	427637	GLRA1	glycine receptor alpha 1	13-13535783-13536182	1
8	7078367	7078766	400	*	Intron (ENSGALT00000098753/ENSGALG00000053577, intron 3 of 3)	8	7067506	7086993	19488	1	ENSGALG00000053577	ENSGALT00000098753	10861	NA	NA	NA	8-7078367-7078766	1
8	7113506	7113905	400	*	Promoter	8	7112556	7151143	38588	1	ENSGALG00000004472	ENSGALT00000007121	950	429070	ASTN1	astrotactin 1	8-7113506-7113905	1
8	7135214	7135613	400	*	Intron (ENSGALT00000007121/ENSGALG00000004472, intron 8 of 22)	8	7112556	7151143	38588	1	ENSGALG00000004472	ENSGALT00000007121	22658	429070	ASTN1	astrotactin 1	8-7135214-7135613	1
8	7232751	7233476	726	*	Distal Intergenic	8	7158790	7231728	72939	2	ENSGALG00000040432	ENSGALT00000066360	-1023	429071	PAPPA2	pappalysin 2	8-7232751-7233476	1
20	8152075	8152474	400	*	Intron (ENSGALT00000099318/ENSGALG00000052781, intron 1 of 2)	20	8135529	8135624	96	1	ENSGALG00000018293	ENSGALT00000029000	16546	777852	MIR133A2	microRNA 133a-2	20-8152075-8152474	1
20	8180941	8181340	400	*	Intron (ENSGALT00000008764/ENSGALG00000005460, intron 1 of 11)	20	8179902	8205145	25244	1	ENSGALG00000005460	ENSGALT00000087850	1039	419231	SLCO4A1	solute carrier organic anion transporter family member 4A1	20-8180941-8181340	1
20	8191679	8192078	400	*	5' UTR	20	8179902	8205145	25244	1	ENSGALG00000005460	ENSGALT00000087850	11777	419231	SLCO4A1	solute carrier organic anion transporter family member 4A1	20-8191679-8192078	1
20	8239353	8239752	400	*	Intron (ENSGALT00000008861/ENSGALG00000005524, intron 1 of 3)	20	8227321	8272370	45050	1	ENSGALG00000005524	ENSGALT00000008861	12032	428149	NTSR1	neurotensin receptor 1	20-8239353-8239752	1
5	9201433	9201832	400	*	Intron (ENSGALT00000009084/ENSGALG00000005662, intron 1 of 14)	5	9179063	9204672	25610	2	ENSGALG00000005662	ENSGALT00000009084	2840	423041	AMPD3	adenosine monophosphate deaminase 3	5-9201433-9201832	1
13	17176745	17177144	400	*	Downstream (2-3kb)	13	17281084	17284094	3011	1	ENSGALG00000041847	ENSGALT00000099342	-103940	NA	NA	NA	13-17176745-17177144	1
13	17234537	17234936	400	*	Intron (ENSGALT00000049635/ENSGALG00000029896, intron 6 of 29)	13	17281084	17284094	3011	1	ENSGALG00000041847	ENSGALT00000099342	-46148	NA	NA	NA	13-17234537-17234936	1
13	17235380	17235779	400	*	Intron (ENSGALT00000049635/ENSGALG00000029896, intron 6 of 29)	13	17281084	17284094	3011	1	ENSGALG00000041847	ENSGALT00000099342	-45305	NA	NA	NA	13-17235380-17235779	1
13	17264229	17264628	400	*	Intron (ENSGALT00000049635/ENSGALG00000029896, intron 1 of 29)	13	17281084	17284094	3011	1	ENSGALG00000041847	ENSGALT00000099342	-16456	NA	NA	NA	13-17264229-17264628	1
13	17279933	17280332	400	*	Promoter	13	17281084	17284094	3011	1	ENSGALG00000041847	ENSGALT00000099342	-752	NA	NA	NA	13-17279933-17280332	1
13	17283832	17284231	400	*	Promoter	13	17283347	17284094	748	1	ENSGALG00000041847	ENSGALT00000066669	485	NA	NA	NA	13-17283832-17284231	1
13	17422773	17423172	400	*	Promoter	13	17424076	17425289	1214	1	ENSGALG00000021113	ENSGALT00000039981	-904	474356	IL3	interleukin 3	13-17422773-17423172	1
12	13399394	13399793	400	*	Intron (ENSGALT00000011619/ENSGALG00000007177, intron 7 of 27)	12	13502210	13519630	17421	2	ENSGALG00000047390	ENSGALT00000092160	119837	NA	NA	NA	12-13399394-13399793	1
12	13511737	13512136	400	*	Intron (ENSGALT00000092160/ENSGALG00000047390, intron 1 of 2)	12	13502210	13519630	17421	2	ENSGALG00000047390	ENSGALT00000092160	7494	NA	NA	NA	12-13511737-13512136	1
12	13537397	13537796	400	*	Downstream (1-2kb)	12	13539675	13541861	2187	2	ENSGALG00000007184	ENSGALT00000011634	4065	416074	FEZF2	FEZ family zinc finger 2	12-13537397-13537796	1
12	13541519	13541918	400	*	Promoter	12	13539675	13541861	2187	2	ENSGALG00000007184	ENSGALT00000011634	0	416074	FEZF2	FEZ family zinc finger 2	12-13541519-13541918	1
12	13542168	13542567	400	*	Promoter	12	13539675	13541861	2187	2	ENSGALG00000007184	ENSGALT00000011634	-307	416074	FEZF2	FEZ family zinc finger 2	12-13542168-13542567	1
12	13544144	13544543	400	*	Distal Intergenic	12	13539675	13541861	2187	2	ENSGALG00000007184	ENSGALT00000011634	-2283	416074	FEZF2	FEZ family zinc finger 2	12-13544144-13544543	1
12	13547118	13547517	400	*	Distal Intergenic	12	13539675	13541861	2187	2	ENSGALG00000007184	ENSGALT00000011634	-5257	416074	FEZF2	FEZ family zinc finger 2	12-13547118-13547517	1
12	13558686	13559085	400	*	Intron (ENSGALT00000011770/ENSGALG00000007268, intron 25 of 26)	12	13539675	13541861	2187	2	ENSGALG00000007184	ENSGALT00000011634	-16825	416074	FEZF2	FEZ family zinc finger 2	12-13558686-13559085	1
12	13613048	13613447	400	*	Intron (ENSGALT00000011770/ENSGALG00000007268, intron 13 of 26)	12	13539675	13541861	2187	2	ENSGALG00000007184	ENSGALT00000011634	-71187	416074	FEZF2	FEZ family zinc finger 2	12-13613048-13613447	1
12	13627956	13628355	400	*	Intron (ENSGALT00000011770/ENSGALG00000007268, intron 11 of 26)	12	13539675	13541861	2187	2	ENSGALG00000007184	ENSGALT00000011634	-86095	416074	FEZF2	FEZ family zinc finger 2	12-13627956-13628355	1
12	13678039	13678438	400	*	Intron (ENSGALT00000011770/ENSGALG00000007268, intron 3 of 26)	12	13553845	13726591	172747	2	ENSGALG00000007268	ENSGALT00000011770	48153	416075	CADPS	calcium dependent secretion activator	12-13678039-13678438	1
12	13702074	13702473	400	*	Intron (ENSGALT00000011770/ENSGALG00000007268, intron 1 of 26)	12	13553845	13726591	172747	2	ENSGALG00000007268	ENSGALT00000011770	24118	416075	CADPS	calcium dependent secretion activator	12-13702074-13702473	1
6	23547802	23548201	400	*	Intron (ENSGALT00000067259/ENSGALG00000007658, intron 20 of 25)	6	23506402	23608492	102091	1	ENSGALG00000007658	ENSGALT00000012402	41400	423850	C6H10orf76	chromosome 6 C10orf76 homolog	6-23547802-23548201	1
6	23577256	23577655	400	*	Intron (ENSGALT00000067259/ENSGALG00000007658, intron 23 of 25)	6	23613017	23634385	21369	1	ENSGALG00000007666	ENSGALT00000012427	-35362	374098	KCNIP2	potassium voltage-gated channel interacting protein 2	6-23577256-23577655	1
6	23610539	23610938	400	*	Distal Intergenic	6	23613017	23634385	21369	1	ENSGALG00000007666	ENSGALT00000012427	-2079	374098	KCNIP2	potassium voltage-gated channel interacting protein 2	6-23610539-23610938	1
6	23616311	23616710	400	*	Intron (ENSGALT00000012427/ENSGALG00000007666, intron 1 of 6)	6	23613017	23634385	21369	1	ENSGALG00000007666	ENSGALT00000047799	3294	374098	KCNIP2	potassium voltage-gated channel interacting protein 2	6-23616311-23616710	1
6	23621035	23621434	400	*	Intron (ENSGALT00000012427/ENSGALG00000007666, intron 1 of 6)	6	23613017	23634385	21369	1	ENSGALG00000007666	ENSGALT00000047799	8018	374098	KCNIP2	potassium voltage-gated channel interacting protein 2	6-23621035-23621434	1
6	23628576	23628975	400	*	Intron (ENSGALT00000012427/ENSGALG00000007666, intron 1 of 6)	6	23634965	23658886	23922	1	ENSGALG00000007697	ENSGALT00000067091	-5990	423851	MGEA5	meningioma expressed antigen 5 (hyaluronidase)	6-23628576-23628975	1
6	23629417	23629816	400	*	Intron (ENSGALT00000012427/ENSGALG00000007666, intron 1 of 6)	6	23634965	23658886	23922	1	ENSGALG00000007697	ENSGALT00000067091	-5149	423851	MGEA5	meningioma expressed antigen 5 (hyaluronidase)	6-23629417-23629816	1
6	23667079	23667478	400	*	Distal Intergenic	6	23669486	23675847	6362	1	ENSGALG00000007706	ENSGALT00000033214	-2008	396313	FGF8	fibroblast growth factor 8	6-23667079-23667478	1
5	20849560	20849959	400	*	Intron (ENSGALT00000099468/ENSGALG00000007948, intron 2 of 4)	5	20746118	20765755	19638	2	ENSGALG00000007948	ENSGALT00000012910	-83805	428862	LRRC4C	leucine rich repeat containing 4C	5-20849560-20849959	1
5	21041473	21041872	400	*	Intron (ENSGALT00000099468/ENSGALG00000007948, intron 1 of 4)	5	20745722	21182056	436335	2	ENSGALG00000007948	ENSGALT00000099468	140184	428862	LRRC4C	leucine rich repeat containing 4C	5-21041473-21041872	1
5	21093313	21093712	400	*	Intron (ENSGALT00000099468/ENSGALG00000007948, intron 1 of 4)	5	20745722	21182056	436335	2	ENSGALG00000007948	ENSGALT00000099468	88344	428862	LRRC4C	leucine rich repeat containing 4C	5-21093313-21093712	1
5	21182276	21182675	400	*	Promoter	5	20745722	21182056	436335	2	ENSGALG00000007948	ENSGALT00000099468	-220	428862	LRRC4C	leucine rich repeat containing 4C	5-21182276-21182675	1
5	21259881	21260280	400	*	Intron (ENSGALT00000097733/ENSGALG00000048395, intron 2 of 3)	5	20745722	21182056	436335	2	ENSGALG00000007948	ENSGALT00000099468	-77825	428862	LRRC4C	leucine rich repeat containing 4C	5-21259881-21260280	1
4	19949187	19949952	766	*	Intron (ENSGALT00000080229/ENSGALG00000009230, intron 3 of 32)	4	19937243	19998920	61678	1	ENSGALG00000009230	ENSGALT00000094789	11944	422400	KIAA0922	KIAA0922	4-19949187-19949952	1
4	19953166	19953565	400	*	Intron (ENSGALT00000080229/ENSGALG00000009230, intron 3 of 32)	4	19937243	19998920	61678	1	ENSGALG00000009230	ENSGALT00000094789	15923	422400	KIAA0922	KIAA0922	4-19953166-19953565	1
4	20001030	20001429	400	*	Distal Intergenic	4	20020334	20028386	8053	1	ENSGALG00000034722	ENSGALT00000050901	-18905	374141	TLR2A	toll-like receptor 2 family member A	4-20001030-20001429	1
4	20019623	20020022	400	*	Promoter	4	20020334	20028386	8053	1	ENSGALG00000034722	ENSGALT00000050901	-312	374141	TLR2A	toll-like receptor 2 family member A	4-20019623-20020022	1
4	20044487	20044886	400	*	Distal Intergenic	4	20030058	20038962	8905	1	ENSGALG00000009239	ENSGALT00000038924	14429	769014	TLR2B	toll-like receptor 2 family member B	4-20044487-20044886	1
4	20064537	20064936	400	*	Exon (ENSGALT00000015038/ENSGALG00000009241, exon 3 of 3)	4	20063168	20067413	4246	2	ENSGALG00000009241	ENSGALT00000015038	2477	395546	SFRP2	secreted frizzled related protein 2	4-20064537-20064936	1
4	20105400	20105799	400	*	Distal Intergenic	4	20063168	20067413	4246	2	ENSGALG00000009241	ENSGALT00000015038	-37987	395546	SFRP2	secreted frizzled related protein 2	4-20105400-20105799	1
4	20202219	20202618	400	*	Downstream (1-2kb)	4	20204108	20213817	9710	2	ENSGALG00000049923	ENSGALT00000099739	11199	NA	NA	NA	4-20202219-20202618	1
9	23126780	23127179	400	*	Distal Intergenic	9	23132124	23185052	52929	1	ENSGALG00000010312	ENSGALT00000090633	-4945	425030	PLCH1	phospholipase C eta 1	9-23126780-23127179	1
9	23199089	23199488	400	*	Distal Intergenic	9	23214990	23250380	35391	2	ENSGALG00000010331	ENSGALT00000016815	50892	425031	MME	membrane metalloendopeptidase	9-23199089-23199488	1
9	23217671	23218070	400	*	Intron (ENSGALT00000016815/ENSGALG00000010331, intron 21 of 21)	9	23214990	23250380	35391	2	ENSGALG00000010331	ENSGALT00000016815	32310	425031	MME	membrane metalloendopeptidase	9-23217671-23218070	1
9	23233606	23234005	400	*	Intron (ENSGALT00000016815/ENSGALG00000010331, intron 9 of 21)	9	23214990	23250380	35391	2	ENSGALG00000010331	ENSGALT00000016815	16375	425031	MME	membrane metalloendopeptidase	9-23233606-23234005	1
9	23295674	23296073	400	*	Distal Intergenic	9	23314217	23335415	21199	1	ENSGALG00000010337	ENSGALT00000016831	-18144	395382	GPR149	G protein-coupled receptor 149	9-23295674-23296073	1
9	23308688	23309087	400	*	Distal Intergenic	9	23314217	23335415	21199	1	ENSGALG00000010337	ENSGALT00000016831	-5130	395382	GPR149	G protein-coupled receptor 149	9-23308688-23309087	1
1	48512369	48512768	400	*	Intron (ENSGALT00000019272/ENSGALG00000011809, intron 4 of 12)	1	48386980	48396962	9983	2	ENSGALG00000052914	ENSGALT00000090811	-115407	NA	NA	NA	1-48512369-48512768	1
1	48606393	48606792	400	*	Intron (ENSGALT00000019272/ENSGALG00000011809, intron 2 of 12)	1	48468643	48670570	201928	2	ENSGALG00000011809	ENSGALT00000019272	63778	417965	GRIN2B	glutamate ionotropic receptor NMDA type subunit 2B	1-48606393-48606792	1
1	48609344	48609743	400	*	Intron (ENSGALT00000019272/ENSGALG00000011809, intron 2 of 12)	1	48468643	48670570	201928	2	ENSGALG00000011809	ENSGALT00000019272	60827	417965	GRIN2B	glutamate ionotropic receptor NMDA type subunit 2B	1-48609344-48609743	1
1	48667777	48668176	400	*	Intron (ENSGALT00000019272/ENSGALG00000011809, intron 1 of 12)	1	48468643	48670570	201928	2	ENSGALG00000011809	ENSGALT00000019272	2394	417965	GRIN2B	glutamate ionotropic receptor NMDA type subunit 2B	1-48667777-48668176	1
1	48668648	48669047	400	*	Intron (ENSGALT00000019272/ENSGALG00000011809, intron 1 of 12)	1	48468643	48670570	201928	2	ENSGALG00000011809	ENSGALT00000019272	1523	417965	GRIN2B	glutamate ionotropic receptor NMDA type subunit 2B	1-48668648-48669047	1
1	48677420	48677819	400	*	Distal Intergenic	1	48468643	48670570	201928	2	ENSGALG00000011809	ENSGALT00000019272	-6850	417965	GRIN2B	glutamate ionotropic receptor NMDA type subunit 2B	1-48677420-48677819	1
1	48686825	48687224	400	*	Downstream (1-2kb)	1	48688315	48697367	9053	2	ENSGALG00000054352	ENSGALT00000098534	10143	NA	NA	NA	1-48686825-48687224	1
1	48705927	48706326	400	*	Distal Intergenic	1	48688315	48697367	9053	2	ENSGALG00000054352	ENSGALT00000098534	-8560	NA	NA	NA	1-48705927-48706326	1
1	48737067	48737466	400	*	Distal Intergenic	1	48759385	48765554	6170	2	ENSGALG00000047855	ENSGALT00000103834	28088	NA	NA	NA	1-48737067-48737466	1
1	49331272	49331671	400	*	Intron (ENSGALT00000019383/ENSGALG00000011878, intron 1 of 4)	1	49285282	49390517	105236	1	ENSGALG00000011878	ENSGALT00000077781	45990	417980	TCF20	transcription factor 20	1-49331272-49331671	1
1	49340742	49341141	400	*	Intron (ENSGALT00000019383/ENSGALG00000011878, intron 1 of 4)	1	49285282	49390517	105236	1	ENSGALG00000011878	ENSGALT00000077781	55460	417980	TCF20	transcription factor 20	1-49340742-49341141	1
1	49347550	49347949	400	*	5' UTR	1	49408394	49417609	9216	1	ENSGALG00000011894	ENSGALT00000019412	-60445	417981	CYP2D6	cytochrome P450 family 2 subfamily D member 6	1-49347550-49347949	1
25	2572398	2572797	400	*	Promoter	25	2568501	2572769	4269	2	ENSGALG00000052868	ENSGALT00000045144	0	100857779	PEAR1	platelet endothelial aggregation receptor 1	25-2572398-2572797	1
Z	23373980	23374379	400	*	Exon (ENSGALT00000024182/ENSGALG00000014994, exon 3 of 7)	34	23367125	23375581	8457	2	ENSGALG00000014994	ENSGALT00000024182	1202	427214	CRHBP	corticotropin releasing hormone binding protein	Z-23373980-23374379	1
Z	23377586	23377985	400	*	Distal Intergenic	34	23367125	23375581	8457	2	ENSGALG00000014994	ENSGALT00000024182	-2005	427214	CRHBP	corticotropin releasing hormone binding protein	Z-23377586-23377985	1
Z	23420125	23420524	400	*	Intron (ENSGALT00000024171/ENSGALG00000014984, intron 1 of 1)	34	23413354	23422556	9203	2	ENSGALG00000014984	ENSGALT00000024171	2032	427213	F2RL1	F2R like trypsin receptor 1	Z-23420125-23420524	1
3	67501107	67501506	400	*	Exon (ENSGALT00000037276/ENSGALG00000015305, exon 2 of 9)	3	67490385	67505356	14972	2	ENSGALG00000015305	ENSGALT00000037276	3850	396082	NR2E1	nuclear receptor subfamily 2 group E member 1	3-67501107-67501506	1
3	67505265	67505664	400	*	Promoter	3	67490385	67505356	14972	2	ENSGALG00000015305	ENSGALT00000037276	0	396082	NR2E1	nuclear receptor subfamily 2 group E member 1	3-67505265-67505664	1
3	67561074	67561473	400	*	Intron (ENSGALT00000061363/ENSGALG00000034295, intron 1 of 2)	3	67556766	67569292	12527	2	ENSGALG00000034295	ENSGALT00000061363	7819	NA	NA	NA	3-67561074-67561473	1
Z	81969767	81970166	400	*	Intron (ENSGALT00000008724/ENSGALG00000028675, intron 3 of 9)	34	81886513	81988016	101504	2	ENSGALG00000028675	ENSGALT00000053244	17850	426807	ZCCHC7	zinc finger CCHC-type containing 7	Z-81969767-81970166	1
Z	81976089	81976488	400	*	Intron (ENSGALT00000008724/ENSGALG00000028675, intron 3 of 9)	34	81886513	81988016	101504	2	ENSGALG00000028675	ENSGALT00000053244	11528	426807	ZCCHC7	zinc finger CCHC-type containing 7	Z-81976089-81976488	1
Z	81993764	81994163	400	*	Promoter	34	81994445	81996296	1852	1	ENSGALG00000051402	ENSGALT00000104479	-282	NA	NA	NA	Z-81993764-81994163	1
Z	82010023	82010422	400	*	Promoter	34	82010868	82120633	109766	1	ENSGALG00000016431	ENSGALT00000026508	-446	387330	PAX5	paired box 5	Z-82010023-82010422	1
Z	82213219	82213618	400	*	Intron (ENSGALT00000026517/ENSGALG00000016438, intron 10 of 17)	34	82200860	82222554	21695	2	ENSGALG00000016438	ENSGALT00000074500	8936	428391	MELK	maternal embryonic leucine zipper kinase	Z-82213219-82213618	1
4	86072116	86072515	400	*	Distal Intergenic	4	86075690	86078546	2857	2	ENSGALG00000037457	ENSGALT00000052293	6031	428801	FOXI3	forkhead box I3	4-86072116-86072515	1
4	86074160	86074559	400	*	Downstream (1-2kb)	4	86075690	86078546	2857	2	ENSGALG00000037457	ENSGALT00000052293	3987	428801	FOXI3	forkhead box I3	4-86074160-86074559	1
4	86080741	86081140	400	*	Distal Intergenic	4	86075690	86078546	2857	2	ENSGALG00000037457	ENSGALT00000052293	-2195	428801	FOXI3	forkhead box I3	4-86080741-86081140	1
4	86090183	86090582	400	*	Distal Intergenic	4	86100563	86111021	10459	1	ENSGALG00000020108	ENSGALT00000032017	-9981	NA	NA	NA	4-86090183-86090582	1
4	86095411	86095810	400	*	Distal Intergenic	4	86100563	86111021	10459	1	ENSGALG00000020108	ENSGALT00000032017	-4753	NA	NA	NA	4-86095411-86095810	1
4	86106583	86106982	400	*	Intron (ENSGALT00000032017/ENSGALG00000020108, intron 4 of 4)	4	86100563	86111021	10459	1	ENSGALG00000020108	ENSGALT00000032017	6020	NA	NA	NA	4-86106583-86106982	1
4	86119640	86120039	400	*	Promoter	4	86120205	86127415	7211	1	ENSGALG00000015953	ENSGALT00000025710	-166	422929	LOC422929	histamine H2 receptor-like	4-86119640-86120039	1
25	2419878	2420277	400	*	Distal Intergenic	25	2427409	2432025	4617	1	ENSGALG00000025817	ENSGALT00000044008	-7132	373910	NHLH1	nescient helix-loop-helix 1	25-2419878-2420277	1
25	2422120	2422519	400	*	Distal Intergenic	25	2427409	2432025	4617	1	ENSGALG00000025817	ENSGALT00000044008	-4890	373910	NHLH1	nescient helix-loop-helix 1	25-2422120-2422519	1
18	7230124	7230523	400	*	Promoter	18	7224009	7230394	6386	2	ENSGALG00000027771	ENSGALT00000045934	0	417428	CACNG1	calcium voltage-gated channel auxiliary subunit gamma 1	18-7230124-7230523	1
18	7257849	7258248	400	*	Intron (ENSGALT00000042721/ENSGALG00000026091, intron 1 of 3)	18	7236970	7272838	35869	2	ENSGALG00000026091	ENSGALT00000042721	14590	373924	CACNG4	calcium voltage-gated channel auxiliary subunit gamma 4	18-7257849-7258248	1
18	7258432	7258831	400	*	Intron (ENSGALT00000042721/ENSGALG00000026091, intron 1 of 3)	18	7236970	7272838	35869	2	ENSGALG00000026091	ENSGALT00000042721	14007	373924	CACNG4	calcium voltage-gated channel auxiliary subunit gamma 4	18-7258432-7258831	1
18	7259382	7259781	400	*	Intron (ENSGALT00000042721/ENSGALG00000026091, intron 1 of 3)	18	7236970	7272838	35869	2	ENSGALG00000026091	ENSGALT00000042721	13057	373924	CACNG4	calcium voltage-gated channel auxiliary subunit gamma 4	18-7259382-7259781	1
